"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Country"
"Syrian Arab Republic",-1.85592664309524,-0.97423012809684,-0.58560730073312,1.04145135868196,-1.67114746661523,"Syrian Arab Republic"
"Tajikistan",-1.12010163968215,-0.01496966425067,-0.943257600422577,0.269945671718324,-1.62808540450897,"Tajikistan"
"Tanzania, United Republic of",-2.72970844105184,1.20124002744741,-0.599716706756866,-0.684284906975984,-0.0840332978315772,"Tanzania, United Republic of"
"Thailand",0.551708706892474,-0.965051035281256,0.886652297522248,1.29143116981873,0.387378603309546,"Thailand"
"Timor-Leste",-1.52630769636895,0.154206559993116,0.350343133083291,1.83506754516711,0.818210928800023,"Timor-Leste"
"Togo",-3.35537209449,0.854488771110575,-1.00729418158538,-1.00004821969403,-0.111040038286597,"Togo"
"Tonga",-0.607526893302423,-0.483900243241747,0.173103643060978,1.77189362795487,1.48045425880749,"Tonga"
"Trinidad and Tobago",0.0228495577940368,-2.12138572624303,-1.72011381681655,-0.520522258792569,0.795226091354363,"Trinidad and Tobago"
"Tunisia",-0.183466834706889,-0.639330138347747,0.332606199753758,-0.674270016610735,-0.44736911683208,"Tunisia"
"Turkey",0.944907857066615,-1.46692858522828,0.0167853763354844,0.24542073600888,-2.04538019393809,"Turkey"
"Turkmenistan",-1.02090616175454,-0.57552625764393,0.442339149573877,0.892672289179511,-1.66276188314478,"Turkmenistan"
"Uganda",-3.07968855982018,1.00942477572875,-0.810385813959059,-0.766394541286435,-0.08758027266858,"Uganda"
"Ukraine",1.07032484865705,0.490718511561766,1.83321093043728,-0.0288637573621815,-1.15760982771367,"Ukraine"
"United Arab Emirates",1.9054763197861,-1.41861873152923,-2.29833072909656,0.329295879580746,-1.89465436022826,"United Arab Emirates"
"United Kingdom",3.61365423468128,1.04886591805716,-1.23001115160773,0.225634879582647,-0.177515000411264,"United Kingdom"
"United States of America",4.11137498885292,1.76300640992017,0.603278091919114,0.906000468900791,-0.806519168841155,"United States of America"
"Uruguay",0.650558837818167,-0.840813383581305,5.26409915494536,-1.50266304202514,-0.288048491959928,"Uruguay"
"Uzbekistan",-0.688555601798076,-0.708081078610972,-0.221623203946477,1.24400898052848,-1.69072634997875,"Uzbekistan"
"Vanuatu",-1.12192282852651,-0.0237992388942382,0.366005554532287,1.74826726903066,1.64435271560457,"Vanuatu"
"Venezuela, Bolivarian Republic of",-1.03365858573199,-1.85591080192844,2.0978419860484,-0.93197105314719,-0.653810916798316,"Venezuela, Bolivarian Republic of"
"Viet Nam",-0.020444210810762,0.263976485869955,0.632921853946302,2.3949167707853,0.595293340673967,"Viet Nam"
"Yemen",-2.47317262294371,-0.319146766681319,-0.417115189750109,0.988398235351277,-1.33521931571034,"Yemen"
"Zambia",-2.88219778250316,0.52108551332986,0.0625986689831935,-0.114828547680691,0.322700828210687,"Zambia"
"Zimbabwe",-3.08836828798292,0.343700240239721,-1.02172833414684,-0.879757086180024,-0.146913710930145,"Zimbabwe"
