"","Quality Score","SDGi","Life Expectancy","HDI","Per Capita GDP","Region","Income Group","Population (millions)","Cropland_Footprint_Production","Grazing_Footprint_Production","Forest_Footprint_Production","Fish_Footprint_Production","BuiltUp_Footprint_Production","Carbon_Footprint_Production","Total_Footprint_Production","Cropland_Footprint_Consumption","Grazing_Footprint_Consumption","Forest_Footprint_Consumption","Fish_Footprint_Consumption","Carbon_Footprint_Consumption","Total_Footprint_Consumption","Grazing land","Forest land","Fishing ground","Total_Biocapacity"
"Cabo Verde","2B",68.1,72.782,0.663,3740.00241326854,"Africa","LM",0.543767028808593,0.255916437517604,0.249749473945883,0.642941577921879,0.746988741767107,0.05238757814948,0.614774634283759,1.60858089824442,0.438667029617599,0.228696402546317,0.488000654113361,0.541848650622241,0.76200507954264,1.83415222311775,0.33141287096158,5.09608896969731,1.3847299256141,0.474331615937812
"Cambodia","2B",64.5,69.57,0.585,1202.62404675058,"Asia-Pacific","LI",16.2497998046875,0.444648003405565,0.132352304000438,0.247911046753852,0.14434225281589,0.0662776937621631,0.33484234186526,1.31457309109297,0.536830277882866,0.128391470759495,0.22139956843699,0.0800342222594595,0.4752186605973,1.50140806941894,0.183040345562561,0.272790375675811,0.135405472671243,1.19559415479015
"Cameroon","3A",55.3,58.921,0.56,1502.16720242191,"Africa","LM",25.2163007812501,0.413265290103628,0.200377161500854,0.356263612712005,0.0776332200854493,0.0654904555144083,0.187846427140782,1.12723533275684,0.399051387334814,0.187331980519516,0.415677380400972,0.0752176315336476,0.261082836801915,1.21383126104417,0.385252191458134,0.454606351417034,0.163751557093107,1.59405657674073
"Canada","3A",79.2,82.0488,0.928,51517.7485260399,"North America","HI",37.0746015625,2.75137036019306,0.335031896072699,2.92498446623489,0.176004284262537,0.0904776127663071,5.44632992477602,11.7241985443055,0.893169190417726,0.288667957012874,1.3560737849399,0.146312491536123,5.29034866968159,8.06504970635452,0.335031896072699,8.33169749146138,3.22803473338729,14.7366120938807
"Central African Republic","3A",38.3,52.805,0.395,379.365535854014,"Africa","LI",4.66637011718751,0.295875144563285,0.551184166247712,0.287267629621589,0.00946268266347546,0.0381276054583879,0.0265234098929468,1.2084406384474,0.316095053190077,0.537719996802984,0.259781213502962,0.0172378653905667,0.0348672180985765,1.20382895244355,0.551184166247712,6.62300119752983,0,7.50818811379922
"Chad","3A",40.9,53.977,0.397,812.019863507005,"Africa","LI",15.4777001953125,0.479145108307744,0.342549787555573,0.494517894591327,0.0936255503424899,0.0727059314530592,0.105819457395117,1.64219504557841,0.525196016350165,0.35261451389204,0.420676420172153,0.068047204599116,0.181359949825266,1.65132586091452,0.534396036136547,0.867999640158229,0.24255405541303,1.70416331548289
"Chile","3A",77.1,80.042,0.849,15110.09609619,"South America","UM",18.72919921875,0.325363403692681,0.198512049307949,2.08815552813808,0.359350555441888,0.116853293514952,1.6654790392317,4.75371386932725,0.601555196263652,0.419376315899883,1.08750933366462,0.172755477858862,1.89515672650994,4.2932063437119,0.4178462461928,2.12094205846502,0.354819635321136,3.33582463718659
"China","3A",70.7143257936508,76.704,0.755,7468.9251599995,"Asia-Pacific","UM",1459.37999999999,0.454208228129585,0.0991133741128563,0.12852887208319,0.0636809865586295,0.107280341174366,2.59962139077406,3.45243319283268,0.569592307296371,0.144927292980504,0.223991873302627,0.071745852205007,2.67919568107786,3.79673334803674,0.0991133741128563,0.221132844336468,0.0416626457918015,0.923397433545077
"Colombia","3A",70.6,77.109,0.764,7692.15279595662,"South America","UM",49.6609999999998,0.249719606972251,0.629378278604399,0.0835005081236358,0.0230283083237306,0.0362214590642186,0.529525587879931,1.55137374896817,0.380052458649219,0.613313435371718,0.114432191260665,0.0408992268272754,0.67170918514361,1.85662795631671,1.09914159302959,1.98830071671341,0.0657033736431025,3.43908674942258
"Comoros","2B",55.3343305555556,64.118,0.552,1402.73832706938,"Africa","LI",0.832322021484376,0.255763208873909,0.157233614183504,0.533664138002551,0.335530223139937,0.0524866182826253,0.210218770180618,0.889176856266902,0.365666482850088,0.130801121304892,0.420231436612631,0.271271716626745,0.351525324641212,1.19337515186407,0.291427917012795,1.63061253752691,0.62915587303074,0.352037535962415
