Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Population (millions),Cropland_Footprint_Production,Grazing_Footprint_Production,Forest_Footprint_Production,Fish_Footprint_Production,BuiltUp_Footprint_Production,Carbon_Footprint_Production,Total_Footprint_Production,Cropland_Footprint_Consumption,Grazing_Footprint_Consumption,Forest_Footprint_Consumption,Fish_Footprint_Consumption,BuiltUp_Footprint_Consumption,Carbon_Footprint_Consumption,Total_Footprint_Consumption,Cropland,Grazing land,Forest land,Fishing ground,BuiltUp_Biocapacity,Total_Biocapacity,Overshoot_Day_DOY,Income Group_LM,Income Group_UM,Income Group_HI,Quality Score_2B,Quality Score_2C,Quality Score_3A,Region_Asia-Pacific,Region_Central America/Caribbean,Region_EU,Region_Middle East/Central Asia,Region_North America,Region_Other Europe,Region_South America
"Iran, Islamic Republic of",70.0,76.479,0.785,6442.526789263397,81.800203125,0.347726614828253,0.0662104009485047,0.0036674843300059,0.185180459043809,0.0722626409460704,2.63645842067815,3.3115060207748,0.561129416618865,0.0959904004205907,0.0482199696039065,0.162093706816245,0.0722626409460704,2.31882858089438,3.25852471530005,0.347726614828253,0.0662104009485047,0.0576213374054003,0.181347044193107,0.0722626409460704,0.725168038321336,176.0,0,1,0,0,0,0,0,0,0,1,0,0,0
Iraq,63.8,70.454,0.671,5463.968804966208,38.4336015624999,0.0795607794435703,0.0160751472616668,0.0022232452601151,0.001545877001117,0.0189125821639658,1.16966057076554,1.28797820189598,0.377793883839003,0.0491718638349949,0.0242881527503608,0.0102363239468494,0.0189125821639658,1.28392824063611,1.76433104717128,0.0795607794435703,0.0160751472616668,0.039578160146324,0.0020482757754881,0.0189125821639658,0.156174944791015,326.0,1,0,0,0,0,0,0,0,0,1,0,0,0
Lao People's Democratic Republic,63.0,67.61,0.609,1785.5813301256514,7.061509765625019,0.744426558258783,0.0828405714786625,0.448903828681297,0.0141008293316803,0.152221588888012,0.861961635848723,2.30445501248716,0.743437508535126,0.242819774473673,0.362939349387282,0.0164409420245198,0.152221588888012,0.322027671003662,1.83988683431227,0.744426558258783,0.11699467057589,0.652271902502841,0.0309699136384695,0.152221588888012,1.696884633864,312.0,1,0,0,0,0,1,1,0,0,0,0,0,0
Mali,52.2,58.893,0.431,778.7259789376953,19.07769921875,0.67191335473751,0.553318598541872,0.144038632064251,0.0116215388033784,0.0974597287697206,0.0933605760409607,1.57171242895769,0.68803259252119,0.476009490762902,0.143437373717179,0.0327100620779628,0.0974597287697206,0.191385348693027,1.62903459654198,0.67191335473751,0.553318598541872,0.514359819173664,0.0382111674108789,0.0974597287697206,1.87526266863365,353.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Myanmar,64.9,66.867,0.579,1573.149750987776,53.70830078125,0.947821970420568,0.0045963315580186,0.325187307501996,0.0621485168861377,0.120208668077518,0.202748540772107,1.66271133521635,0.841386924751773,0.009109125239546,0.338093364419774,0.0457031291014228,0.120208668077518,0.303670266332488,1.65817147792252,0.947821970420568,0.0045963315580186,0.509579777864589,0.280429709930508,0.120208668077518,1.8626364578512,347.0,0,0,0,0,0,1,1,0,0,0,0,0,0
Norway,82.0,82.7585,0.956,91608.03070432124,5.3379599609375,0.155602587684484,0.317249678380616,1.52845679793706,5.51873103749215,0.0273746142005462,2.78304996588163,10.3304646815765,0.829313647704449,0.276929040239885,0.885709248504835,1.15171151776193,0.0273746142005462,2.4978648423053,5.66890291071694,0.155602587684484,0.574952029797569,3.29811853656122,2.85244013229043,0.0273746142005462,6.90848790053425,100.0,0,0,1,0,0,1,0,0,0,0,0,1,0
Papua New Guinea,51.3,64.263,0.549,2397.656518782972,8.60632031250003,0.343028557971803,0.0001539710017297,0.570809842753298,0.997205052982947,0.140351168772164,0.218261877515448,2.26981047099739,0.277845425214197,0.0237227790944533,0.268787589714066,0.793047244422011,0.140351168772164,0.218426180361841,1.72218038757873,0.343028557971803,0.0311254740813242,2.30736796969655,0.604420783500129,0.140351168772164,3.42629395402197,334.0,1,0,0,0,0,0,1,0,0,0,0,0,0
Qatar,66.7,80.1,0.845,63990.1082706583,2.78167993164061,0.0071146081436553,6.5789479186884e-05,0.0006936471418279,0.0758230371754671,0.0491230207212639,11.8103776827719,11.9431977854333,0.706292671221089,0.34224876713946,0.190356804103611,0.159984587146816,0.0491230207212639,12.8229477436623,14.2709535939946,0.0071146081436553,6.5789479186884e-05,0.0,0.86404971828195,0.0491230207212639,0.920353136626056,40.0,0,0,1,0,0,1,0,0,0,1,0,0,0
Slovenia,81.6,81.3781,0.912,26709.658901778537,2.07784008789062,0.247437839952857,0.0603136683844674,1.51254338266769,0.001227969120999,0.0825072922283914,2.37475336222867,4.27878351458307,0.619900471231751,0.192604581194695,1.11926842887018,0.0493406081852661,0.0825072922283914,3.30257934050944,5.36620072221973,0.247437839952856,0.0603136683844674,1.80485867786897,0.0043141063407687,0.0825072922283914,2.19943158477546,106.0,0,0,1,0,0,1,0,0,1,0,0,0,0
Tunisia,71.4,76.505,0.738,4408.371592275959,11.5652001953125,0.331083795690745,0.0748623401685643,0.135966357566805,0.0633086456230088,0.0242506107166803,0.87320563891249,1.50267738867829,0.586134481497113,0.0621744592850291,0.240719542063736,0.0684242874684186,0.0242506107166803,1.04267623397944,2.02437961501041,0.331083795690745,0.0748623401685643,0.0335324707274152,0.221814651708267,0.0242506107166803,0.685543869011671,284.0,0,1,0,0,0,1,0,0,0,0,0,0,0
Uzbekistan,69.8,71.573,0.717,2408.6100554167856,32.47619921875,0.364525481064564,0.164675768301137,0.000492397548877,0.0058120856554621,0.0637246068096725,1.18653412151283,1.78576446089254,0.446585630188258,0.1644652535705,0.0885336448560788,0.0071247826848828,0.0637246068096725,1.26793293411472,2.03836685222411,0.364525481064564,0.164675768301137,0.0564117391028437,0.0093927914343504,0.0637246068096725,0.658730386712568,282.0,1,0,0,0,0,1,0,0,0,1,0,0,0
