Country,Quality Score,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Fish Footprint,Built up land,Carbon Footprint,Total Ecological Footprint (Production),Cropland Footprint.1,Grazing Footprint.1,Forest Product Footprint.1,Fish Footprint.1,Built up land.1,Carbon Footprint.1,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land.2,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,"actual 
Country Overshoot Day 
2018"
Denmark,3A,84.9,80.9537,0.939,64671.69684598826,EU,HI,5.7521298828125,1.35691122972354,0.00903610769621985,0.350006813183871,0.572613727471708,0.158076648337212,1.94824709004259,4.39489161645514,0.702308675535776,0.469323949930319,1.06115959522974,0.812304625880033,0.158076648337212,3.45021385881744,6.65338735373052,1.35691122972354,0.00903610769621985,0.3389603160948,1.75530882351399,0.158076648337212,3.61829312536576,-3.03509422836476,4.204023418595189,1.8388193336486396,1900-03-26 19:43:05.425
Djibouti,2A,53.8,66.582,0.518,-,Africa,LM,0.958922973632809,0.016971697422391,0.208936671086637,0.157164626598094,0.0245136441557069,0.215456551427915,0.284709055691553,0.907752246382297,1.49324711582379,0.0,0.300297708510985,0.0335568338880457,0.215456551427915,0.395830036218774,2.43838824586951,0.016971697422391,0.208936671086637,0.00198551221719291,0.270715061040397,0.215456551427915,0.714065493194533,-1.724322752674977,1.5407251591198816,3.4147963584696273,1900-08-23 21:38:03.924
Dominica,2B,,,0.738,6696.54450261782,Central America/Caribbean,UM,0.0716249999999998,,,,,,,1.31845819580782,,,,,,,2.45839865678177,,,,,,1.14067533755465,-1.3177233192271203,1.5533689797210808,2.1552132985114074,1900-08-21 23:21:20.030
Dominican Republic,3A,70.8,73.892,0.751,7697.772958468685,Central America/Caribbean,UM,10.627099609375,0.307819792152998,0.107435401662159,0.0392613135665177,0.0109438901663187,0.0630008674608571,0.80020515159139,1.32866641660024,0.393476427067286,0.132922539461622,0.126868032757952,0.0406763075602929,0.0630008674608571,1.01189961082139,1.7688437851294,0.307819792152998,0.107435401662159,0.166033509327343,0.0235026372228648,0.0630008674608571,0.667792207826222,-1.1010515773031782,1.117665378726384,2.6487936882152154,1900-11-21 13:45:58.548
Ecuador,2B,72.5,76.8,0.762,5180.585679118625,South America,UM,17.0844003906249,,,,,,,2.26600109126402,,,,,,,1.70246786871039,,,,,,1.88578879006471,0.18332092135431988,1.0757249516595944,0.9027882007146573,1900-12-04 07:20:43.990
Egypt,2B,68.6,71.825,0.701,2905.807097684674,Africa,LM,98.4236015624997,,,,,,,1.30928931544227,,,,,,,1.83631018042192,,,,,,0.365710103148648,-1.470600077273272,1.160294838082741,5.021218075770594,1900-11-09 13:48:18.714
El Salvador,3A,67.9,73.096,0.67,3507.0513569287077,Central America/Caribbean,LM,6.42075,0.210416397591599,0.0993453720943967,0.31652133667243,0.196585891950582,0.0423998833979744,0.356047199796689,1.22131608150367,0.440008725259715,0.192994300323537,0.419115179081467,0.142865894400577,0.0423998833979744,0.790651992446812,2.02803597491008,0.210416397591599,0.139388773881586,0.0875673373790947,0.109250647230487,0.0423998833979744,0.589023039480741,-1.4390129354293388,1.281439104472862,3.443050337552016,1900-10-10 20:03:51.160
Equatorial Guinea,2A,,58.402,0.582,10134.6862776952,Africa,HI,1.3089699707031202,0.080155406699208,0.00535446170148462,0.817995532367474,0.0144389872333907,0.023078122018467,1.53123486378008,2.4722573738001,0.239755025459284,0.0240664101703325,0.151856723378593,0.0517534361232462,0.023078122018467,1.53123486378008,2.02174458093,0.080155406699208,0.0825295825433881,2.60265053025836,0.567965660378267,0.023078122018467,3.35637930189769,1.3346347209676899,1.2774638109536842,0.6023587917452923,1900-10-11 17:20:13.606
Estonia,3A,81.6,78.2439,0.889,19918.664110201775,EU,HI,1.32292004394531,0.892784040385227,0.102397016724005,5.27416373140568,0.251423492361692,0.0824230272526086,3.96309302967456,10.5662843378038,0.293919909586631,0.1636567468534,4.03395260248727,0.0771217234048601,0.0824230272526086,3.35836649650104,8.0094405060858,0.892784040385227,0.102397016724005,3.98918571442986,4.26499674628266,0.0824230272526086,9.33178654507436,1.3223460389885595,5.060862034216295,0.8582965831246387,1900-03-12 02:55:49.479
Eswatini,3A,53.3,59.401,0.605,4761.590330288579,Africa,LM,1.1362800292968702,0.279356724403419,0.401557599901612,1.17450917230864,8.71010605873212e-05,0.069788898712182,0.365782191501997,2.29108168788843,0.4385463766969,0.465571737155513,0.977699148954934,0.0188716092068935,0.069788898712182,0.493417776038449,2.46389554676487,0.279356724403419,0.553812714265285,0.0483056679118953,0.00513240496966679,0.069788898712182,0.956396410262447,-1.5074991365024233,1.5568422562627564,2.576228350845385,1900-08-21 10:46:27.492
Fiji,3A,71.2,67.341,0.742,4794.682114005652,Asia-Pacific,UM,0.883482971191405,0.169387177628517,0.0897540618163508,0.644178579434142,0.527720871210426,0.0258334417164674,0.451843598819424,1.90871773062533,0.427076484824165,0.217241182316632,0.76563240029071,0.534658021263824,0.0258334417164674,0.696886938016122,2.66732846842792,0.169387177628517,0.0897540618163508,1.40990104205057,0.646921098959677,0.0258334417164674,2.34179682217158,-0.3255316462563398,1.6853838128136724,1.1390093466582083,1900-08-03 13:37:44.867
Finland,3A,85.9,81.7341,0.937,48890.19193573543,EU,HI,5.522580078125,0.56834907592663,0.0769323464815383,8.13600772541556,0.147421145757726,0.0965220694565073,2.83167997576347,11.8569123388014,0.716764084151134,0.187605542410406,1.16075047118752,0.207071530815818,0.0965220694565073,4.07475047459221,6.44346417261359,0.568349075926629,0.0769323464815383,9.12725023219487,2.26938606211462,0.0965220694565073,12.1384397861742,5.69497561356061,4.07138091296582,0.5308313330311824,1900-03-29 15:36:14.879
France,3A,81.7,82.7244,0.898,45056.68277020996,EU,HI,65.02919921874991,1.08931925330005,0.157550574269054,0.414529589473104,0.138505104721672,0.151290028007059,1.68127818729352,3.63247273706446,0.791202473815155,0.243761705459732,0.509444271401819,0.217009734699067,0.151290028007059,2.50832310779487,4.4210313211777,1.08931925330005,0.157550574269054,0.871603839218341,0.110223214646119,0.151290028007059,2.37998690944062,-2.04104441173708,2.7934822099532113,1.8575864025305906,1900-05-09 15:52:15.793
French Guiana,2A,,,,,South America,,0.28293798828125,0.0891478769073354,0.0572799482932157,0.38122467665326,0.0694966263646055,0.00505190706870232,0.733013175499661,1.33521421078678,0.0891478769073354,0.0572799482932157,0.372336956642109,0.0694966263646055,0.00505190706870232,1.28510463972094,1.8784179549969,0.0891478769073354,0.0665290670416346,78.2455195397996,13.7336719871432,0.00505190706870232,92.1399203779605,90.26150242296359,1.1869011456681375,0.02038658105294185,1900-11-02 12:33:50.806
French Polynesia,2B,,77.462,,-,Asia-Pacific,HI,0.27767898559570303,,,,,,,2.12409540162839,,,,,,,3.995740717582,,,,,,1.30575229662656,-2.68998842095544,2.5247571888220843,3.0601062145592888,1900-05-23 13:38:26.088
Gabon,2A,62.8,66.187,0.697,9051.324193338467,Africa,UM,2.1192700195312404,0.242869621547223,0.0217122577459441,0.856456057362275,0.0620027622003889,0.0406322334051858,0.40567187385137,1.62934480611239,0.501665026381524,0.1281425970747,0.543314425803068,0.157832837610789,0.0406322334051858,0.581752217259872,1.95333933753514,0.242869621547222,1.02046448543861,15.3599204371801,2.25934024770724,0.0406322334051858,18.9232270252784,16.96988768774326,1.2342411290478346,0.10322443074459718,1900-10-21 17:28:42.960
Georgia,2A,72.2,73.6,0.805,4407.485562674211,Middle East/Central Asia,LM,4.00293994140625,0.130682026401163,0.210489357676955,0.0655825450557768,0.193584580337111,0.0473104252717057,0.909794894331921,1.55744382907463,0.39093174390005,0.176733381861698,0.136249524609514,0.194319627426926,0.0473104252717057,1.37436387226451,2.3199085753344,0.130682026401163,0.395360674550824,0.641233755653081,0.0490383202985073,0.0473104252717057,1.26362520217528,-1.05628337315912,1.4658623436732856,1.8359150888576536,1900-09-05 00:00:16.295
Germany,3A,82.5,80.8927,0.946,47158.2360135501,EU,HI,83.1243984375,0.532445130529998,0.0815395124714201,0.542859069624617,0.0262644462942426,0.128824170125022,2.97048729469038,4.28241962373568,0.692994815385752,0.187526154235117,0.577515299752377,0.0435067668082716,0.128824170125022,3.04197061500531,4.67233782131185,0.532445130529998,0.0815395124714201,0.678891103161953,0.072217659671122,0.128824170125022,1.49391757595952,-3.1784202453523305,2.9522732671455736,3.127574035207987,1900-05-02 15:12:18.003
Ghana,3A,62.5,63.78,0.606,1808.3286818796112,Africa,LM,29.7670996093749,0.753691144062213,0.0594574813946058,0.666246343441352,0.114841555608617,0.0940411993107111,0.205188789757857,1.89346651357536,0.585513633138257,0.0758193425281547,0.675229785717592,0.17823779692443,0.0940411993107111,0.395822774157793,2.00466453177694,0.753691144062213,0.193536041972062,0.207244222819569,0.0512560322480578,0.0940411993107111,1.29976864041261,-0.7048958913643297,1.2666715749372492,1.5423241255771192,1900-10-14 03:45:45.628
Greece,3A,75.4,81.7878,0.881,24044.400914621503,EU,HI,10.522200195312399,0.567387697795017,0.149852671477182,0.0657905439211601,0.044834693861003,0.0495053821767249,2.14409320297924,3.02146419221033,0.702938900865339,0.377461489081312,0.302572964255066,0.101197553545938,0.0495053821767249,2.56537900786244,4.09905529778682,0.567387697795017,0.149852671477182,0.219358909521666,0.182108479778591,0.0495053821767249,1.16821314074918,-2.93084215703764,2.5900377581879823,3.5088248495116896,1900-05-19 22:11:24.274
Grenada,2B,,72.384,0.773,9091.732718056886,Central America/Caribbean,UM,0.11145400238037,,,,,,,1.69506994341453,,,,,,,2.53614198227368,,,,,,2.09815339547306,-0.4379885868006199,1.6024920419495563,1.2087495546062632,1900-08-14 18:29:08.900
Guadeloupe,2B,,,,,Central America/Caribbean,,0.39984799194335796,,,,,,,2.11442702754376,,,,,,,3.61729827220633,,,,,,0.514995006638606,-3.102303265567724,2.2856337441217405,7.023948243336547,1900-06-07 16:38:06.181
Guatemala,3A,59.9,74.063,0.657,3164.1773169903868,Central America/Caribbean,LM,17.2478007812499,0.414234621941605,0.139119143408031,0.483459840046466,0.0217511493748833,0.0857631772816232,0.358558011250914,1.50288594330352,0.413515325000872,0.160352894683445,0.570213142460602,0.026855815455544,0.0857631772816232,0.56313201426949,1.81983236915158,0.414234621941605,0.139119143408031,0.284525304683913,0.0408783790628533,0.0857631772816232,0.964520626378026,-0.855311742773554,1.1498831333698234,1.8867739262201433,1900-11-12 10:09:55.748
Guinea,3A,51.0,61.185,0.473,897.1186595473429,Africa,LI,12.4142998046874,0.464089244308807,0.483279919747273,0.411296678275782,0.0869638707114626,0.0597939900252902,0.0753526259083825,1.580776328977,0.616641405233667,0.492293943821448,0.412389150618869,0.0856299843252342,0.0597939900252902,0.177267441338108,1.84401591536262,0.464089244308807,0.694660275632091,0.558303022864292,0.281397939959866,0.0597939900252902,2.05824447279035,0.21422855742773006,1.1651638000754658,0.8959168552327986,1900-11-08 06:15:22.432
Guyana,3A,57.9,69.774,0.68,5825.025876670446,South America,LM,0.7790059814453121,1.00783811923202,0.056442320758971,0.677808707796486,0.0693988241224727,0.0872455450888413,1.06256717597343,2.96130069297222,0.884313395269742,0.0900715909300995,0.577209865656614,0.0391443642281447,0.0872455450888413,1.7291918207511,3.40717658192454,1.00783811923202,0.977860852204674,65.4043823188789,5.22589270784887,0.0872455450888413,72.7032195432533,69.29604296132875,2.1528658080712177,0.04686417745086942,1900-06-17 12:59:41.652
Hungary,2A,78.8,76.0659,0.85,16894.15400463559,EU,HI,9.7075,1.5798867827475,0.0230807078320014,0.326661695866919,0.00213453369680489,0.178949176324124,1.74200067504029,3.85271357150763,0.741274263789322,0.0767484277183756,0.439703054272428,0.0252703419712487,0.178949176324124,2.40392448542949,3.86586974950499,1.5798867827475,0.0831310680311197,0.723008287231122,0.00666840349103168,0.178949176324124,2.5716437178249,-1.2942260316800902,2.4426966439952076,1.5032680159811362,1900-05-28 10:12:01.909
Indonesia,3A,66.3,71.509,0.712,4296.318988609167,Asia-Pacific,LM,267.67099999999897,0.512430767625054,0.0170728797835669,0.269002078922699,0.261174368242327,0.0611190055269883,0.736910403603627,1.85770950370426,0.498682410337211,0.0427266739927918,0.182644735357864,0.229114552070218,0.0611190055269883,0.702893673580693,1.71718105086577,0.512430767625054,0.0521330967887828,0.269884735010796,0.344678093699608,0.0611190055269883,1.24024569865123,-0.4769353522145401,1.0850216540842013,1.3845490879212146,1900-12-01 09:34:17.720
"Iran, Islamic Republic of",2A,70.0,76.479,0.785,6442.526789263397,Middle East/Central Asia,UM,81.800203125,0.347726614828253,0.0662104009485047,0.00366748433000597,0.185180459043809,0.0722626409460704,2.63645842067815,3.3115060207748,0.561129416618865,0.0959904004205907,0.0482199696039065,0.162093706816245,0.0722626409460704,2.31882858089438,3.25852471530005,0.347726614828253,0.0662104009485047,0.0576213374054003,0.181347044193107,0.0722626409460704,0.725168038321336,-2.533356676978714,2.058938324928838,4.493475364472881,1900-06-25 06:37:11.695
