,Country,Rang_voisin,Voisin,Distance,Voisin_manquant,p
236,Jordan,7,Tunisia,1.006467619413264,False,0.2
237,Jordan,8,Morocco,1.0468088455571056,False,0.2
238,Jordan,9,Uzbekistan,1.050332828510514,False,0.2
239,Jordan,10,Philippines,1.0879948996813626,True,0.2
240,Lao People's Democratic Republic,1,Myanmar,1.0698643655089362,False,0.3
241,Lao People's Democratic Republic,2,Côte d'Ivoire,2.0744863905918813,True,0.3
242,Lao People's Democratic Republic,3,Ghana,2.2860990730036623,False,0.3
243,Lao People's Democratic Republic,4,Viet Nam,2.413016635557571,False,0.3
244,Lao People's Democratic Republic,5,Nepal,2.4784853187720985,True,0.3
245,Lao People's Democratic Republic,6,Papua New Guinea,2.7214092953761635,False,0.3
246,Lao People's Democratic Republic,7,China,3.0439668338551717,False,0.3
247,Lao People's Democratic Republic,8,Republic of Moldova,3.2804995070926593,False,0.3
248,Lao People's Democratic Republic,9,Kyrgyzstan,3.2933541089660032,True,0.3
249,Lao People's Democratic Republic,10,Mali,3.306931160218645,False,0.3
250,Lebanon,1,Georgia,0.8504051457117493,False,0.0
251,Lebanon,2,Azerbaijan,0.854087536086726,False,0.0
252,Lebanon,3,Algeria,0.877989212667458,False,0.0
253,Lebanon,4,Jordan,0.9069210541326997,False,0.0
254,Lebanon,5,Armenia,0.9554978589614042,False,0.0
255,Lebanon,6,"Iran, Islamic Republic of",1.075912700713696,False,0.0
256,Lebanon,7,Turkey,1.08782184993445,False,0.0
257,Lebanon,8,Mexico,1.2091830995622126,False,0.0
258,Lebanon,9,Barbados,1.2693978117245375,False,0.0
259,Lebanon,10,Tunisia,1.2924579536092065,False,0.0
260,Mali,1,Burkina Faso,1.3957129261012597,True,0.7
261,Mali,2,Niger,1.435958510453869,True,0.7
262,Mali,3,Guinea,1.5082428723070054,False,0.7
263,Mali,4,Cameroon,1.5477103492571822,True,0.7
264,Mali,5,Eswatini,1.5649132127973804,False,0.7
265,Mali,6,"Tanzania, United Republic of",1.578777082949034,True,0.7
266,Mali,7,Côte d'Ivoire,1.6411986403776502,True,0.7
267,Mali,8,Nigeria,1.756407287284548,True,0.7
268,Mali,9,Malawi,1.762883140898029,True,0.7
269,Mali,10,Ghana,1.8168481621532793,False,0.7
270,Mauritania,1,Congo,2.6875939569031644,True,0.4
271,Mauritania,2,Botswana,2.731248231980583,False,0.4
272,Mauritania,3,Sudan,2.8491436321540533,True,0.4
273,Mauritania,4,Bolivia,2.954889888663577,False,0.4
274,Mauritania,5,Colombia,3.069826340692675,False,0.4
275,Mauritania,6,Chad,3.0864045403565945,False,0.4
276,Mauritania,7,Eswatini,3.3165005420451448,False,0.4
277,Mauritania,8,Lesotho,3.4108990017083274,True,0.4
278,Mauritania,9,Guinea,3.4220428743498155,False,0.4
279,Mauritania,10,Niger,3.5798439248105844,True,0.4
280,Mexico,1,Turkey,0.8928762814420252,False,0.0
281,Mexico,2,Azerbaijan,0.9180615998916832,False,0.0
282,Mexico,3,"Iran, Islamic Republic of",0.9393347287580558,False,0.0
283,Mexico,4,Republic of North Macedonia,1.089605173140691,False,0.0
284,Mexico,5,Algeria,1.129206516739503,False,0.0
285,Mexico,6,Lebanon,1.2091830995622126,False,0.0
286,Mexico,7,Albania,1.2478804069386207,False,0.0
287,Mexico,8,Bosnia and Herzegovina,1.2594822693256575,False,0.0
288,Mexico,9,Costa Rica,1.2884114071861916,False,0.0
289,Mexico,10,Georgia,1.3033377394398193,False,0.0
290,Mongolia,1,Uruguay,9.824398217247664,True,0.1
291,Mongolia,2,Bolivia,10.462238005378158,False,0.1
292,Mongolia,3,Australia,10.492055737507158,False,0.1
293,Mongolia,4,Mauritania,11.45544061393419,False,0.1
294,Mongolia,5,Turkmenistan,12.734230452091653,False,0.1
295,Mongolia,6,Paraguay,12.954591586284053,False,0.1
296,Mongolia,7,Colombia,13.11866910719164,False,0.1
297,Mongolia,8,Argentina,13.413907587837121,False,0.1
298,Mongolia,9,Botswana,13.536085050737162,False,0.1
299,Mongolia,10,Kazakhstan,13.657527914007058,False,0.1
300,Montenegro,1,Panama,1.0684966333727568,False,0.0
301,Montenegro,2,Republic of North Macedonia,1.3844332924475085,False,0.0
302,Montenegro,3,Bosnia and Herzegovina,1.5691011752081754,False,0.0
303,Montenegro,4,Cuba,1.6260985061955313,False,0.0
304,Montenegro,5,Fiji,1.6561417914138843,False,0.0
305,Montenegro,6,Barbados,1.7191532006964205,False,0.0
306,Montenegro,7,Turkey,1.7385373539087234,False,0.0
307,Montenegro,8,Mexico,1.7821331950427048,False,0.0
308,Montenegro,9,Jamaica,1.9693000764706226,False,0.0
309,Montenegro,10,Georgia,1.9885459349274688,False,0.0
310,Morocco,1,Sri Lanka,0.4108097368471437,True,0.4
311,Morocco,2,Philippines,0.47379453536568095,True,0.4
312,Morocco,3,Indonesia,0.6157259163784405,False,0.4
313,Morocco,4,Guatemala,0.7859612681283049,False,0.4
314,Morocco,5,Algeria,0.9547959718227317,False,0.4
315,Morocco,6,Nicaragua,0.9866981190945991,True,0.4
316,Morocco,7,El Salvador,1.010607432031013,False,0.4
317,Morocco,8,Jordan,1.0468088455571056,False,0.4
318,Morocco,9,Kyrgyzstan,1.0543679264586128,True,0.4
319,Morocco,10,Uzbekistan,1.1069110927794061,False,0.4
320,Myanmar,1,Lao People's Democratic Republic,1.0698643655089362,False,0.5
321,Myanmar,2,Côte d'Ivoire,1.5167914125705908,True,0.5
322,Myanmar,3,Ghana,1.5340161408017237,False,0.5
323,Myanmar,4,Nepal,1.6708556412556093,True,0.5
324,Myanmar,5,Papua New Guinea,1.871037294079474,False,0.5
325,Myanmar,6,Viet Nam,1.9919591746544156,False,0.5
326,Myanmar,7,Bangladesh,2.552172921574281,True,0.5
327,Myanmar,8,Guatemala,2.6518947570654707,False,0.5
328,Myanmar,9,Kyrgyzstan,2.668216517655545,True,0.5
329,Myanmar,10,Tajikistan,2.6977757500687485,True,0.5
330,Namibia,1,Gabon,2.711234187773634,False,0.2
331,Namibia,2,Fiji,3.574515558464173,False,0.2
332,Namibia,3,Colombia,3.598050235519261,False,0.2
333,Namibia,4,Panama,3.657443074859846,False,0.2
334,Namibia,5,Botswana,3.6861847846659708,False,0.2
335,Namibia,6,Nicaragua,4.029033794399914,True,0.2
336,Namibia,7,Montenegro,4.047801589943491,False,0.2
337,Namibia,8,Congo,4.155947172841178,True,0.2
338,Namibia,9,El Salvador,4.351188148120616,False,0.2
339,Namibia,10,Tunisia,4.35605608683365,False,0.2
340,Panama,1,Montenegro,1.0684966333727568,False,0.0
